"displayName","userPrincipalName","department","jobTitle","accountEnabled","createdDateTime","id"
"Alice Johnson","alice.johnson@ntjhunghotmail.onmicrosoft.com","HR","HR Manager","True","5/19/2026 9:19:01 PM","7aa2ed2d-5b27-484b-af45-a1ce0c4be096"
"Brian Lee","brian.lee@ntjhunghotmail.onmicrosoft.com","Finance","Finance Analyst","True","5/19/2026 9:19:02 PM","8fa302dc-77ad-4929-8e1f-1cfcbc6ee963"
"Carlos Ramirez","carlos.ramirez@ntjhunghotmail.onmicrosoft.com","IT","Helpdesk Technician","True","5/19/2026 9:19:03 PM","5125cf6a-5a7e-452c-87cf-254eba087ce4"
"Dana Smith","dana.smith@ntjhunghotmail.onmicrosoft.com","Contractors","Project Contractor","True","5/19/2026 9:19:03 PM","f3776de9-ece0-4fe7-b4f9-0ed99fd77d5e"
"Emma Wilson","emma.wilson@ntjhunghotmail.onmicrosoft.com","Sales","Sales Representative","True","5/19/2026 9:19:04 PM","e8a5fa7e-b412-4e44-b18f-dc0f76ccb377"
"Frank Miller","frank.miller@ntjhunghotmail.onmicrosoft.com","Executives","Chief Financial Officer","True","5/19/2026 9:19:04 PM","89a1dffe-ce55-4c6e-86e9-18b6cfe1ccd4"
"Grace Kim","grace.kim@ntjhunghotmail.onmicrosoft.com","HR","Recruiting Specialist","True","5/19/2026 9:19:05 PM","84f53f81-447c-49d4-a596-3f2d7d948c09"
"Henry Brown","henry.brown@ntjhunghotmail.onmicrosoft.com","Finance","Accounts Payable Specialist","True","5/19/2026 9:19:05 PM","dbd479ed-863f-4230-a5fe-6e73310d97e6"
"Isabella Davis","isabella.davis@ntjhunghotmail.onmicrosoft.com","Sales","Account Executive","True","5/19/2026 9:19:06 PM","a65c9955-8fc8-4c80-8215-d67340baf9d8"
"James Clark","james.clark@ntjhunghotmail.onmicrosoft.com","Contractors","Temporary IT Contractor","True","5/19/2026 9:19:06 PM","5f9fea6d-d222-48a6-914f-b52d33e9e147"
"Lab Admin","labadmin@ntjhunghotmail.onmicrosoft.com",,,"True","5/19/2026 10:43:24 PM","6bd12e66-e865-47d6-a19c-e895ecbada0c"
"Nicholas Tjhung","ntjhung_hotmail.com#EXT#@ntjhunghotmail.onmicrosoft.com",,,"True","1/31/2025 10:17:45 PM","b6d9817d-3080-46b9-8c0b-9cfc63b608b6"
